##file Simple Germline Variations - Metadata File
##featureType cngm
##fileType m
## Copy Number Germline Variations [cngv] – Metadata File [m]
# name	datatype	required?	primary key?	deconvolution level	mapping file	description	values
analysis_id	VARCHAR(64)	true	false			Unique identifier for the analysis performed for a particular group of samples	
control_sample_id	VARCHAR(64)	true	false			Unique identifier for the analyzed control sample	
matched_sample_id	VARCHAR(64)	true	false			Unique identifier for the analyzed matched sample	
assembly_version	VARCHAR(64)	true	false		{codec.dir}/appendix_B10.tsv	Version of reference genome assembly	
platform	VARCHAR(512)	true	false		{codec.dir}/appendix_B5.tsv	Platform or technology used in detecting the mutation/variation	
experimental_protocol	VARCHAR(512)	false	false			Name of experimental protocol and URL to written protocol	
base_calling_algorithm	VARCHAR(512)	true	false			Name of base calling algorithm and URL to written protocol	
alignment_algorithm	VARCHAR(512)	true	false			Name of alignment algorithm and URL to written protocol	
variation_calling_algorithm	VARCHAR(512)	true	false			Name of variation calling algorithm and URL to written protocol	
other_analysis_algorithm	VARCHAR(512)	false	false			Names of other analysis algorithms. Separate multiple algorithms by commas.	
seq_coverage	FLOAT(5,2)	false	false			Sequence coverage if analyzed by sequencing platforms	
raw_data_repository	VARCHAR(512)	false	false		{codec.dir}/appendix_B12.tsv	Public repository where raw data is submitted (#)	
raw_data_accession	VARCHAR(512)	false	false			Accession and URL for referencing the raw data at the public repository	
note	TEXT	false	false			Optional field to leave notes	
